StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q14,Q14_4_TEXT,SATISFIED,INFOR,TECH,AGREE_1,AGREE_2,AGREE_3,AGREE_4,AGREE_5,AGREE_6,Q12,Q13,Q14,Q17,TOPICS,Q11,Q15_1,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_8_TEXT,Q16_1,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17
2020-06-12 14:49:23,2020-06-12 14:54:25,IP Address,69.247.23.69,100,301,True,2020-06-12 14:54:25,R_1mFu5z8HoEw649o,,,,,36.186798095703125,-86.5066986083984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,,,,,,"I enjoyed how the two presenters worked together. It made the worship more interesting.  I think both shared information  that was both relevant and helpful to me as a teacher. ","Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,3,,,,,,,,,,,
2020-06-12 15:09:59,2020-06-12 15:11:08,IP Address,174.196.5.2,100,69,True,2020-06-12 15:11:09,R_PCBQ75kN19xISGt,,,,,36.186798095703125,-86.5066986083984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Satisfied,Most of the information,Extremely well,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,6,7,8,,,,,,
2020-06-12 15:06:30,2020-06-12 15:19:09,IP Address,71.206.127.86,100,759,True,2020-06-12 15:19:09,R_5dx4YtuH78NtGKZ,,,,,36.2646026611328125,-86.70200347900390625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,"Take care of yourself, student response to trauma, T or t trauma","Have more structures in place to support students with trauma such as opportunities for meaningful student collaboration, using a Mood Meter, using topics to foster social awareness, etc",Will schools receive more counselors and social workers to support teachers as we begin to immerse ourselves in SEL and trauma informed practices?,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,2,,,,,,,,,,,,
2020-06-12 15:34:36,2020-06-12 15:36:49,IP Address,107.77.235.95,100,133,True,2020-06-12 15:36:50,R_2zvFbt5gFXeIyZh,,,,,36.1670989990234375,-86.786102294921875,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,A little of the information,Fairly well,Agree,Agree,Agree,Agree,Agree,Agree,None,"Sharing ideas for SEL lessons and ways to connect. ","I will incorporate things I learned in my classroom. ",None,CPR,N/A,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,3,,,,,,,,,,,
2020-06-12 15:47:59,2020-06-12 15:55:37,IP Address,172.127.73.76,100,458,True,2020-06-12 15:55:38,R_6nC6Zj0Zt9aFZHr,,,,,36.2129974365234375,-86.3011016845703125,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Somewhat satisfied,Most of the information,Fairly well,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I would have liked more info about incorporating STEM while being mindful of SEL & trauma.  I did not see how STEM was incorporated.,For everyone to remember that our students have dealt with a lot over the last few months.,I already try to incorporate SEL practices.  I expect that the main changes to my classroom will be COVID-related restrictions.,N/A,"I would like more ideas of how to incorporate SEL, COVID-restrictions, etc., while in a content classroom.  Share actual ideas from classrooms that have helped students that involved the content.",N/A,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,,,9,10,11,12,,
2020-06-12 15:58:16,2020-06-12 16:01:14,IP Address,71.206.127.191,100,177,True,2020-06-12 16:01:14,R_ZC5TgZxcnQa7CG5,,,,,36.2646026611328125,-86.70200347900390625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,"How to welcome my students back to school after the COVID 19 as we all experienced traumatic experiences. ",,,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,3,,,,,,,,,,,
2020-06-12 16:08:41,2020-06-12 16:15:19,IP Address,216.170.193.71,100,398,True,2020-06-12 16:15:19,R_viPNWFlpxg3RFzb,,,,,36.186798095703125,-86.5066986083984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,"More lesson examples or a longer Q & A to share multiple experiences would have been more helpful than multiple breakout rooms. ","I appreciated getting an order to my focus when we return. I had worried we were expected to hit everything at once, and the professors helped us navigate better.","It won't change, but I have been very focused on SEL best practices for a few years. It was important to hear I'm doing the right things, and that my reading sources are the correct ones.",,"Culturally responsive classrooms, how to navigate when teaching virtually (the SEL components, not the technology), K-2 books to build community and understanding.","I really enjoyed the PDs. It was a nice change from focusing on technology and content curriculum, and one I find very important.","Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,2,,,,,,,,,,,,
2020-06-12 16:25:18,2020-06-12 16:26:52,IP Address,70.231.33.230,100,94,True,2020-06-12 16:26:53,R_1LRQydHYl5ZylK8,,,,,35.9698028564453125,-86.506103515625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Satisfied,All the information,Fairly well,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,,,,,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,6,,,,,,,,
2020-06-12 16:27:21,2020-06-12 16:30:38,IP Address,99.203.97.151,100,196,True,2020-06-12 16:30:39,R_2rluNg56luZmTQe,,,,,36.1670989990234375,-86.786102294921875,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Somewhat satisfied,All the information,Extremely well,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,"There was hardly any science in this training that was labeled as STEM. ","Teachers need to teach students coping mechanisms. ","I already build relationships and let kids discuss their traumas when they need to. ",How do I actually integrate this into STEM practices? How do I help kids deal with trauma while asynchronous learning is occurring?,"Anything that has actual science content included. ",No,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,7,,,,,,,
2020-06-12 17:30:13,2020-06-12 17:34:05,IP Address,76.211.149.20,100,231,True,2020-06-12 17:34:05,R_1K1hJhK64yIB2C2,,,,,36.1876068115234375,-86.61190032958984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Satisfied,Most of the information,Neither well nor poorly,Agree,Agree,Agree,Agree,Agree,Agree,,Strategies for helping students impacted by trauma,Implementing the strategies that were learned,,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,3,,,,,,,,,,,
2020-06-12 17:36:01,2020-06-12 17:39:23,IP Address,69.225.54.102,100,201,True,2020-06-12 17:39:23,R_2dSVTDTQIuK6CPn,,,,,36.07110595703125,-86.71959686279296875,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Not satisfied,A little of the information,Extremely well,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,,,,,How to use technology for remote learning,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,,,,10,11,12,,
2020-06-12 17:56:23,2020-06-12 18:13:08,IP Address,184.60.143.200,100,1005,True,2020-06-12 18:13:09,R_1jm3dG3zF6qCMbU,,,,,36.186798095703125,-86.5066986083984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I have been teaching for over 20 years and have attended sessions with others over the same topic.  Something about this one was different.  The whole LARGE group was very much on the same page and the strategies, ideas, and support was amazing.  I would not change a thing. ",Trauma affects everyone differently.  And what is traumatic to one may not be to another.,"I am already started with my planning for next school year.  In my planner I have written some reminders like: It takes TIME, Every Moment Matters, Be in the Moment, Voice and Choice gives a sense of control, Model more than content - it's okay to show emotion and how to work through it, Trauma affects everyone differently. ","When is the next one? ","How to make connections with students when you teach several classes in a day. ","I very much enjoyed it.  Thank you for taking the time to put it all together and share your experiences and knowledge with us. ","Teacher who teaches science, mathematics, or STEM related content",,"Instructional leader (teacher leader, instructional coach, teacher educator, etc.)",,,Other,Computer TECHnology,PreK/K,1,2,3,4,5,,,,,,,,,
2020-06-12 18:57:58,2020-06-12 19:01:50,IP Address,174.49.27.252,100,232,True,2020-06-12 19:01:51,R_3JDXm5UJWYLJUp3,,,,,36.186798095703125,-86.5066986083984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Satisfied,All the information,Extremely well,Agree,Agree,Strongly agree,Agree,Agree,Agree,More examples of stem activities,Giving examples of how children respond to trauma and how this can impact them in their daily life,I am more conscious of what experiences children might bring to school with them that I am not aware of,,Responsive classroom,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,1,,,,,,,,,,,,,
2020-06-12 19:32:35,2020-06-12 19:34:16,IP Address,174.49.11.17,100,101,True,2020-06-12 19:34:16,R_2zp7ZrtfsB0gVNh,,,,,35.867706298828125,-86.41739654541015625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,"I would like to see more video examples. ","The discussions were most helpful. ","I will look beyond the behavior to the probable trauma behind it. ",N/A,Technology,N/A,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,7,,,,,,,
2020-06-12 19:44:56,2020-06-12 19:47:25,IP Address,24.151.231.73,100,149,True,2020-06-12 19:47:26,R_D5XT0kR1qZkX3Ud,,,,,35.4586029052734375,-86.78299713134765625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,Some of the information,Fairly well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,More time in collaborative groups.  More examples of students with ACES or trauma and strategies used.,How I can integrate SEL objectives into my STEM lessons.,I will be more mindful of trauma and ACES among my students.,,STEM instruction online,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,PreK/K,1,2,3,4,,,,,,,,,,
2020-06-12 19:43:17,2020-06-12 19:54:11,IP Address,108.67.73.64,100,654,True,2020-06-12 19:54:12,R_3Of5JqyV8sw49VL,,,,,36.0659942626953125,-86.9658966064453125,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I cannot think of anything I would do differently.,Trauma response behaviors should be met with trauma informed/influenced consequences.,"I want to help my students transition back to school in a emotionally, mentally healthy way.",I feel like I have just opened the door on how to help my students.  I am looking forward to continuing to prepare.,how to bridge the gap between virtual/digital teaching and traditional in the classroom teaching,I would love if you guys could come and talk to my whole factuly.  I think all of us should hear what you guys had to say.,"Teacher who teaches science, mathematics, or STEM related content",,"Instructional leader (teacher leader, instructional coach, teacher educator, etc.)",,,Other,I also teach two SPED Biology classes and AP Psychology.,,,,,,,,,,9,10,11,12,,
2020-06-12 22:28:04,2020-06-12 22:41:31,IP Address,107.212.205.161,100,807,True,2020-06-12 22:41:31,R_3lPmnPsZRzE5dXK,,,,,36.1876068115234375,-86.61190032958984375,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,"I would have liked to learn more about STEM activities I can do with students when we return, either online or on campus.","Self care is critical ","I hope to recognize signs of trauma in my students and respond appropriately ",NA,STEM in the elementary classroom/ Brain breaks and mindfulness- helping students to be self aware and to manage themselves,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,4,,,,,,,,,,
2020-06-13 07:36:45,2020-06-13 07:41:11,IP Address,69.137.104.203,100,265,True,2020-06-13 07:41:11,R_1E0wExEyFG28MqC,,,,,37.6875,-85.87470245361328125,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Very satisfied,All the information,Extremely well,Agree,Agree,Agree,Agree,Agree,Agree,,"How to help my students cope with adjusting back to school and some the behaviors they may exhibit. ","I am going to make sure that I know what the children have experienced before jumping to conclusions about their behavior, I will incorporate the SEL skills that we were given with the students and my colleagues. ",,,,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,,,,,,,9,10,,,,
2020-06-13 10:46:03,2020-06-13 11:00:50,IP Address,71.9.177.145,100,886,True,2020-06-13 11:00:50,R_3fNnAUpzhoDAJJ5,,,,,35.7162933349609375,-86.9093017578125,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Satisfied,All the information,Extremely well,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Tuesday’s workshop could have worked in STEM applications as well.,Strategies used with students experiencing multiple traumas was impactful.,I will be more mindful to implement these strategies as it became my focus during this informative PD.,"As all educators now we are uncertain as how we will address Covid 19 concerns and how this might impact our teaching.  However, Tuesday’s workshop did touch on this perplexing topic.  I also understand no one fully understands how teaching will fully look like in our near future.",Student motivation,How will I get PD credits?,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,,,,3,,,,,,,,,,,
2020-06-13 11:11:08,2020-06-13 11:16:21,IP Address,99.203.96.202,100,312,True,2020-06-13 11:16:21,R_21yMemdvUxkzYz7,,,,,36.1670989990234375,-86.786102294921875,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Satisfied,All the information,Extremely well,Agree,Agree,Strongly agree,Agree,Agree,Agree,"Not really sure. ",We did some lesson ideas and I really liked the ideas some groups shared.,It will hopefully make me more aware of behavior and factors,"Don’t really have any. ","Anything on digital learning or techniques in managing behaviors ",Nope,"Teacher who teaches science, mathematics, or STEM related content",,,,,,,PreK/K,,,,,,,,,,,,,,
2020-06-13 20:57:28,2020-06-13 21:03:41,IP Address,73.7.237.136,100,373,True,2020-06-13 21:03:41,R_1eqHzoTH3DjfSYT,,,,,33.8654022216796875,-84.3385009765625,anonymous,EN,Returning to School After COVID-19: Using SEL & Trauma Informed Practices to Re-engage Students in STEM Learning,,Somewhat satisfied,Some of the information,Fairly well,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,More examples,None,I do not,"Personal / what changes will be made within my district ","Anything about the state curriculum ",,"Teacher who teaches science, mathematics, or STEM related content",,"Instructional leader (teacher leader, instructional coach, teacher educator, etc.)",,,,,,,,,,,,,,,10,,,,
