"","Q12","Q13","Q14.1","Q17","TOPICS","Q11"
"15","More lesson examples or a longer Q & A to share multiple experiences would have been more helpful than multiple breakout rooms. ","I appreciated getting an order to my focus when we return. I had worried we were expected to hit everything at once, and the professors helped us navigate better.","It won't change, but I have been very focused on SEL best practices for a few years. It was important to hear I'm doing the right things, and that my reading sources are the correct ones.","","Culturally responsive classrooms, how to navigate when teaching virtually (the SEL components, not the technology), K-2 books to build community and understanding.","I really enjoyed the PDs. It was a nice change from focusing on technology and content curriculum, and one I find very important."
"16","","","","","",""
"17","There was hardly any science in this training that was labeled as STEM. ","Teachers need to teach students coping mechanisms. ","I already build relationships and let kids discuss their traumas when they need to. ","How do I actually integrate this into STEM practices? How do I help kids deal with trauma while asynchronous learning is occurring?","Anything that has actual science content included. ","No"
"18","","Strategies for helping students impacted by trauma","Implementing the strategies that were learned","","",""
"19","","","","","How to use technology for remote learning",""
"20","I have been teaching for over 20 years and have attended sessions with others over the same topic.  Something about this one was different.  The whole LARGE group was very much on the same page and the strategies, ideas, and support was amazing.  I would not change a thing. ","Trauma affects everyone differently.  And what is traumatic to one may not be to another.","I am already started with my planning for next school year.  In my planner I have written some reminders like: It takes TIME, Every Moment Matters, Be in the Moment, Voice and Choice gives a sense of control, Model more than content - it's okay to show emotion and how to work through it, Trauma affects everyone differently. ","When is the next one? ","How to make connections with students when you teach several classes in a day. ","I very much enjoyed it.  Thank you for taking the time to put it all together and share your experiences and knowledge with us. "
"21","More examples of stem activities","Giving examples of how children respond to trauma and how this can impact them in their daily life","I am more conscious of what experiences children might bring to school with them that I am not aware of","","Responsive classroom",""
"22","I would like to see more video examples. ","The discussions were most helpful. ","I will look beyond the behavior to the probable trauma behind it. ","N/A","Technology","N/A"
"23","More time in collaborative groups.  More examples of students with ACES or trauma and strategies used.","How I can integrate SEL objectives into my STEM lessons.","I will be more mindful of trauma and ACES among my students.","","STEM instruction online",""
"24","I cannot think of anything I would do differently.","Trauma response behaviors should be met with trauma informed/influenced consequences.","I want to help my students transition back to school in a emotionally, mentally healthy way.","I feel like I have just opened the door on how to help my students.  I am looking forward to continuing to prepare.","how to bridge the gap between virtual/digital teaching and traditional in the classroom teaching","I would love if you guys could come and talk to my whole factuly.  I think all of us should hear what you guys had to say."
"25","I would have liked to learn more about STEM activities I can do with students when we return, either online or on campus.","Self care is critical ","I hope to recognize signs of trauma in my students and respond appropriately ",NA,"STEM in the elementary classroom/ Brain breaks and mindfulness- helping students to be self aware and to manage themselves",""
"26","","How to help my students cope with adjusting back to school and some the behaviors they may exhibit. ","I am going to make sure that I know what the children have experienced before jumping to conclusions about their behavior, I will incorporate the SEL skills that we were given with the students and my colleagues. ","","",""
"27","Tuesday’s workshop could have worked in STEM applications as well.","Strategies used with students experiencing multiple traumas was impactful.","I will be more mindful to implement these strategies as it became my focus during this informative PD.","As all educators now we are uncertain as how we will address Covid 19 concerns and how this might impact our teaching.  However, Tuesday’s workshop did touch on this perplexing topic.  I also understand no one fully understands how teaching will fully look like in our near future.","Student motivation","How will I get PD credits?"
"28","Not really sure. ","We did some lesson ideas and I really liked the ideas some groups shared.","It will hopefully make me more aware of behavior and factors","Don’t really have any. ","Anything on digital learning or techniques in managing behaviors ","Nope"
"29","More examples","None","I do not","Personal / what changes will be made within my district ","Anything about the state curriculum ",""
"30","I would love another workshop that focuses on SEL lesson plans for my grade level (or grade band). ","1. That my feelings are valid. That other teachers are feeling the exact same, no matter their grade level, education level, or experience level. 
2. I made a list of ideas that I want to implement in my classroom. This PD inspired me. ","My ""morning work"" will center around SEL. I will check in with my students more this Fall. ","Is there more PD workshops about SEL?","SEL, continued to trauma, inclusion and SEL, ","Thank you! This has been the most informative and interesting PD that I have taken in a while. "
"31","None - small group working on individual lessons with feedback. ","SEL Practices - Strategies to try","Focusing on SEL practices when planning","None","",""
"32","","The most valuable piece of information that has stuck with me is:
 Not all stressors are the same for every person. 
 There is not one recipe for the return,  it is a mixture of strategies that will be needed.
","I intend to see each seed student's stressors as they are and use ideas from the PD to assist me with the student. ","","",""
"33","","","","","How to cope with personal and work traumas",""
"34","I would have loved to spend more time in breakout groups(if a zoom meeting would be the setting).","I really enjoyed hearing from different areas around the state about challenges they face due to student experience. Hearing some of the comments and stories helped connect my experiences to our discussions.","Helping myself as well as other teachers understand the effects of trauma on students....that they aren't all the same, have different effects, & at some point everyone experiences trauma.","I still struggle with helping students through the covid crisis that we are in. We discussed this a little, but without having our students at school(where this may be their safe place), I feel somewhat helpless for some of them.","whole brain learning, helping students balance screen time(often too much when school offers work this way & this is also how they like to ""break""), secure networks, etc","I enjoyed this workshop! I'd love to be included in other opportunities offered by  these speakers!"
"35","","The reason student behave that way they do is often trauma related.","Huge changes. My eyes have been opened.","","","The presenters were fantastic! And the break away groups were awesome."
"36","None at this time.","I believe that making those connections and relationships meaningful in a student's time with me is an important part in helping to create a positive culture for the school.","I am hoping that I can take the ideas and suggestions to create positive relationships with students for them to learn in a safe place.","None at this time.","None at this time- too overwhelmed right now!","No, thank you for asking."
"37","","","","","",""
"38","The time allocated for devising a lesson was a little short but all in all it was enough time to attain the purpose of the activity. If we had more time we would have taken more time and sometimes a time frame is needed to get the job done. ","The fact that we are faced with the affects of this pandemic and it is something that we are going to have to deal with for a while.","Just being aware of the trauma that students may be experiencing and having some guidelines, strategies and activities will help me with professional practices.","","More information and strategies to use in dealing with the various traumas.","Great job!"
"39","More time when we have break out sessions, and possibly a timer in the window","Engaging students using SEL and curriculum simultaneously  ","Utilizing some of the resources I have learned about when lesson planning","","Any more STEM/ STEAM workshops",""
"40","Maybe discuss more strategies to use to help students in need. We discussed some but if I have to choose something. ","How certain things can impact our students that we would not think about and they might be acting out because of something bothering them.","I will continue to build good relationships with my students and really try to figure out how they feel and what might be bothering them. ","I do not have any questions at this time. ","Maybe something about remote learning strategies if thats going to become the new normal. ","not at this time. Thanks!"
"41","Maybe just some more actual activities that could be used in the classroom and teaching us how to implement them. ","To really listen to our students. Making sure to try harder to get to the root of a problem if a child is acting out in order to get them support that is needed rather than just discipline.  ","I think with teaching STEM this workshop made me realize that I can focus on social emotional needs due to not being tied down with content standards.  I will definitely be more mindful of the actions and behaviors of my students. ","none","Distance learning topics for middle grades STEM students.  How to ensure students can complete activities if we were to do remote learning in the fall. ","no"
"42","Workshop had great information, but in order to answer the question, I would say possibly sharing more hands on Trauma Informed practices or specific research based programs that have been found to be effective.","It is crucial to create predictable routines, build strong relationships and empower with student agency.  I also like breathing and mindfulness strategies. ","I will use more mindfulness strategies.  I will share the information with teachers, so that they can use in their classes.  ","Even though all schools have different needs, are there any specific SEL programs that you would recommend using after schools reopen?","More on supporting Tier 2 and Tier 3 students and Virtual school counseling and Guidance teaching","More on Specific strategies and programs for Trauma informed schools and Virtual School Counseling"
"43","","I learned that Covid, itself, may not have traumatized the student, but it definitely could add to already present traume.","I will ask the question in my mind, ""What has happened?"" instead of ""What is wrong with this student.""","none","",""
"44","NONE","Small groups ","","","N/A","N/A"
"45","","","","","",""
"46","","","","","",""
"47","I did enjoy the breakout session portion, and liked coming up with ideas to include SEL into some of our standards. I would have enjoyed a little more time at the end to hear each group’s project.","I love the idea of having a attendance question, where the student can choose to answer the question or say pass, rather than just “here” or “present.”  This sounds like a good way to hear the voice of each child which may give me clues into how they are doing that day.","I plan to be intentional about checking in with every student every day, to make sure they are doing OK emotionally.","There are so many unknowns about what our school year will look like. I am curious how we will serve the SE needs of our kids if we end up in a fully remote-learning situation. ","I would like to continue learning about non-traditional teaching models. This could be powerful to use in a remote learning situation, or even in a traditional classroom to free me up to work with the kids more individually.","I enjoyed the workshop, thank you for providing such a timely and necessary information-filled workshop. What a world we are living in today!"
"48","None- it was great!","I loved the opportunity to break out into small groups- I didn't even know that was possible in Zoom- and it was extremely helpful to hear about other educators' experiences so far during this and possible future school closures.","I will be sure to be more mindful of my students' mental state and non-academic needs prior to just jumping into my science content as usual.","How to support students if we have to switch back and forth between online and in-person classes?","Anything related to effectively teaching online","I was so impressed with the presenters' knowledge on taking care of the whole-student, and it really put a lot of things into perspective coming from a social with an array of SE groups.  "
"49","I would extend the time by 30 minutes in each of the workshop days.","Trauma can cause people to behave differently and must be acknowledged and dealt with. It is critical that we as educators attend to learning as not only cognitive in nature but also: behavioral, cultural, affective, political, historical, and ethical.","I will be setting aside planning and teaching time to address trauma. I will be setting aside planning a teaching time to better address the specific needs of the bilingual learners in my class.","Are there specific books and online resources you suggest for lesson planning taking trauma and bilingual learners?","Project planning and planning for supporting those experiencing trauma.",""
"50","There was just 1 incident, but it wasn't the presenter's fault. Her internet must not have been strong enough because the presenter(s) disappeared for the first 2 minutes of the 1st session. Then they came back and started their lesson. But it was very awkward to sit in a silent meeting because the teachers got kicked off of the meeting. HA","I was very much impacted by learning about the physical brain after trauma. ","I am a specials teacher so I won't be able to add morning meetings or anything, but I'd like to focus on the relationship building and peer feedback, open communication, modeled thinking and talking about how I feel about a particular topic of discussion. ","","Blending STEM into literacy",""
"51","Please add a little more about STEM practice.","Trauma affecting brain development.","Adapting teaching methods.","follow-up content?","How to adapt STEM content for online use.","Thank you!"
"52","","","","","",""
"53",NA,"Reminder we must teach with the whole child in mind.  They have suffered trauma.","Work in the trauma into my chemistry curriculum as a brain chemistry.","None","","Not at this time."
